PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Α' Θεσσαλονίκης,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,1228,0
Α' Θεσσαλονίκης,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,1153,0
Α' Θεσσαλονίκης,Κ.Ο.Τ.Ε.Σ.,1147,0
Α' Θεσσαλονίκης,ΕΑΝ...,1004,0
Α' Θεσσαλονίκης,ΚΚΕ (μ-λ),954,550
Α' Θεσσαλονίκης,Τ.ΟΛ.ΜΑ,940,0
Α' Θεσσαλονίκης,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,897,0
Α' Θεσσαλονίκης,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,845,0
Α' Θεσσαλονίκης,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,694,748
Α' Θεσσαλονίκης,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,618,0
Α' Θεσσαλονίκης,SOCIAL,523,0
Α' Θεσσαλονίκης,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,432,0
Α' Θεσσαλονίκης,Ο.Κ.Δ.Ε.,285,198
Α' Θεσσαλονίκης,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,279,0
Α' Θεσσαλονίκης,Μ-Λ ΚΚΕ,158,78
Α' Θεσσαλονίκης,ΟΑΚΚΕ,49,0
Α' Θεσσαλονίκης,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,12,0
Α' Θεσσαλονίκης,ΝΕΑ ΔΟΜΗ,0,0
Α' Θεσσαλονίκης,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Α' Θεσσαλονίκης,Ανεξάρτητοι,0,39
Α' Θεσσαλονίκης,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,533800,-
Α' Θεσσαλονίκης,ΑΚΥΡΑ,8469,-
Α' Θεσσαλονίκης,ΛΕΥΚΑ,2151,-
Α' Θεσσαλονίκης,ΕΓΚΥΡΑ,330852,-
Α' Θεσσαλονίκης,ΣΥΜΜΕΤΟΧΗ,341472,-
Β' Θεσσαλονίκης,ΝΔ,80377,80327
Β' Θεσσαλονίκης,ΣΥΡΙΖΑ-ΠΣ,30393,46947
Β' Θεσσαλονίκης,ΠΑΣΟΚ-Κίνημα Αλλαγής,20396,12420
Β' Θεσσαλονίκης,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,15917,10555
Β' Θεσσαλονίκης,ΚΚΕ,12441,8603
Β' Θεσσαλονίκης,ΝΙΚΗ,11294,0
Β' Θεσσαλονίκης,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,7358,3220
Β' Θεσσαλονίκης,ΜέΡΑ25,4921,7577
Β' Θεσσαλονίκης,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,2554,2237
Β' Θεσσαλονίκης,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,1621,0
Β' Θεσσαλονίκης,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,1599,0
Β' Θεσσαλονίκης,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,1353,0
Β' Θεσσαλονίκης,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,1196,0
Β' Θεσσαλονίκης,Κίνημα 21,1099,0
Β' Θεσσαλονίκης,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,1092,3743
Β' Θεσσαλονίκης,Κ.Ο.Τ.Ε.Σ.,881,0
Β' Θεσσαλονίκης,ΑΝΤ.ΑΡ.ΣΥ.Α.,725,564
Β' Θεσσαλονίκης,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,680,0
Β' Θεσσαλονίκης,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,664,0
Β' Θεσσαλονίκης,Τ.ΟΛ.ΜΑ,634,0
Β' Θεσσαλονίκης,ΕΑΝ...,567,0
Β' Θεσσαλονίκης,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,492,0
Β' Θεσσαλονίκης,SOCIAL,491,0
Β' Θεσσαλονίκης,ΚΚΕ (μ-λ),439,269
Β' Θεσσαλονίκης,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,402,470
Β' Θεσσαλονίκης,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,338,0
Β' Θεσσαλονίκης,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,289,0
Β' Θεσσαλονίκης,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,220,0
Β' Θεσσαλονίκης,Μ-Λ ΚΚΕ,87,67
Β' Θεσσαλονίκης,Ο.Κ.Δ.Ε.,65,53
Β' Θεσσαλονίκης,ΟΑΚΚΕ,24,0
Β' Θεσσαλονίκης,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Β' Θεσσαλονίκης,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Β' Θεσσαλονίκης,ΝΕΑ ΔΟΜΗ,0,0
Β' Θεσσαλονίκης,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Β' Θεσσαλονίκης,Ανεξάρτητοι,0,0
Β' Θεσσαλονίκης,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,297980,-
Β' Θεσσαλονίκης,ΑΚΥΡΑ,4307,-
Β' Θεσσαλονίκης,ΛΕΥΚΑ,1154,-
Β' Θεσσαλονίκης,ΕΓΚΥΡΑ,200622,-
Β' Θεσσαλονίκης,ΣΥΜΜΕΤΟΧΗ,206083,-
Σερρών,ΝΔ,52283,53839
Σερρών,ΣΥΡΙΖΑ-ΠΣ,16448,26055
Σερρών,ΠΑΣΟΚ-Κίνημα Αλλαγής,12152,9725
Σερρών,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,7751,6852
Σερρών,ΚΚΕ,5321,3818
Σερρών,ΝΙΚΗ,4564,0
Σερρών,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2637,1225
Σερρών,ΜέΡΑ25,2073,3508
Σερρών,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,934,882
Σερρών,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,902,0
Σερρών,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,852,0
Σερρών,Κίνημα 21,684,0
Σερρών,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,616,0
Σερρών,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,577,0
Σερρών,ΕΑΝ...,388,0
Σερρών,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,363,1370
Σερρών,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,361,0
Σερρών,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,345,0
Σερρών,ΑΝΤ.ΑΡ.ΣΥ.Α.,318,299
Σερρών,Τ.ΟΛ.ΜΑ,313,0
Σερρών,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,281,361
Σερρών,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,266,0
Σερρών,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,259,0
Σερρών,ΚΚΕ (μ-λ),171,106
Σερρών,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,160,0
Σερρών,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,108,0
Σερρών,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,71,0
Σερρών,Μ-Λ ΚΚΕ,41,26
Σερρών,Ο.Κ.Δ.Ε.,34,33
Σερρών,ΟΑΚΚΕ,9,0
